INTL_20160320_000001	+1 entrée d'instance supplémentaire pour les missions et donjons	인던,미션 1회 추가입장				
INTL_20160320_000002	Contient divers avantages spéciaux pour tous vos personnages sur ce serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +20 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl}- Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl}- 1 entrée d'instance supplémentaire pour les missions et donjons{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능				
INTL_20160320_000003	Contient divers avantages spéciaux pour tous vos personnages sur ce serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl}- Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl}- 1 entrée d'instance supplémentaire pour les missions et donjons{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	INTL_20160320_000002	Contient divers avantages spéciaux pour tous vos personnages sur ce serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +20 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl}- Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl}- 1 entrée d'instance supplémentaire pour les missions et donjons{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160323_000004	- Possibilité d'apprendre jusqu'à 2 attributs{nl}simultanément{nl} - Frais de commission du Marché réduits (30 %{nl}{img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5{nl}objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - Échange possible jusqu'à 30 fois seulement{nl}	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}				
INTL_20160326_000005	Accorde les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160320_000003	Contient divers avantages spéciaux pour tous vos personnages sur ce serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl}- Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl}- 1 entrée d'instance supplémentaire pour les missions et donjons{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160326_000006	Token : 30 jours	토큰:30일				
INTL_20160329_000007	Coffre de 10 parchemins d'enchantement	마법 부여 스크롤 10개 상자				
INTL_20160329_000008	Contient 10 parchemins d'enchantement. Clic droit pour utiliser.	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160329_000009	Coffre de 10 mégaphones	확성기 10개 상자				
INTL_20160329_000010	Contient 10 Mégaphone. Clic droit pour utiliser.	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
