ETC_20150317_000001	Kepa	케파				
ETC_20150317_000002	Le Kepa n'est pas un monstre puissant. Cependant, l'attaquer imprudemment pourrait vous faire pleurer.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 				
ETC_20150317_000003	Grand Kepa	대형 케파				
ETC_20150317_000004	Certains essaient parfois de manger le Grand Kepa. Ne les laissez pas faire.	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.				
ETC_20150317_000005	Kepa Rouge	붉은 케파				
ETC_20150317_000006	Contrairement à la croyance populaire, ce sont les Kepa rouge qui ressemblent le plus au Kepa original.	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.				
ETC_20150317_000007	Kepa Empoisonné	중독된 케파				
ETC_20150317_000008	Monstre	몬스터				
ETC_20150317_000009	Hamming	하밍				
ETC_20150317_000010	Malgré sa peau résistante, le Hamming est un monstre plutôt faible.	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.				
ETC_20150317_000011	Chinency	치넨시				
ETC_20150317_000012	À l'origine des tiges de plantes, les Chinency ont depuis évolué vers leur forme actuelle.	보기와 달리 식물의 줄기가 변형된 몬스터입니다.				
ETC_20150317_000013	Chinency Mutant	변이 치넨시				
ETC_20150317_000014	Jukopus	유코푸스				
ETC_20150317_000015	On sait très peu de choses sur la structure interne du Jukopus.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.				
ETC_20150317_000016	Jukopus Bleu	푸른 유코푸스				
ETC_20150317_000017	Jukopus Gris	회색 유코푸스				
ETC_20150317_000018	Selon sa maturité, ce monstre peut développer diverses techniques de combat.	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.	ETC_20150317_000015	On sait très peu de choses sur la structure interne du Jukopus.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.	
ETC_20150317_000019	Pokuborn	포쿠본				
ETC_20150317_000020	Pokuborn Jaune	노란 포쿠본				
ETC_20150317_000021	Pokuborn Bleu	푸른 포쿠본				
ETC_20150317_000022	Il y a beaucoup de choses à savoir sur ce monstre. Surtout, évitez de vous faire toucher par sa charge.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.				
ETC_20150317_000023	Pokuborn Vert	초록 포쿠본				
ETC_20150317_000024	Même après mutation, leur viande reste comestible.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.	ETC_20150317_000022	Il y a beaucoup de choses à savoir sur ce monstre. Surtout, évitez de vous faire toucher par sa charge.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20150317_000025	Pokubu Bleu	푸른 포쿠부				
ETC_20150317_000026	Banshee	밴시				
ETC_20150317_000027	Les âmes de ceux qui se sont aventurés dans les enfers apparaissent désormais sous forme de démons.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.				
ETC_20150317_000028	Banshee Rouge	붉은 밴시				
ETC_20150317_000029	Esprit Maléfique	사악한 망령				
ETC_20150317_000030	Une âme qui n'a pas reçu la guidance de la déesse. Elle est née sous contrôle démoniaque.	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.				
ETC_20150317_000031	Grande Banshee	대형 밴시				
ETC_20150317_000032	Ruche d'abeilles	벌통				
ETC_20150317_000033	Ruche d'Abeilles Bleue	푸른 벌통				
ETC_20150317_000034	Ruche d'Abeilles Grise	회색 벌통				
ETC_20150317_000035	Ruche d'Abeilles Rouge	붉은 벌통				
ETC_20150317_000036	Bushspider	크루마보				
ETC_20150317_000037	Rampant dans les ombres de la forêt, ce monstre a considérablement grandi en taille au fil du temps.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.				
ETC_20150317_000038	Bushspider Noir	검은 크루마보				
ETC_20150317_000039	Bushspider Rouge	붉은 크루마보				
ETC_20150317_000040	Bushspider Blanc	하얀 크루마보				
ETC_20150317_000041	Bushspider Jaune	노란 크루마보				
ETC_20150317_000042	Dionia Répugnante	구역질나는 디오니아				
ETC_20150317_000043	Dionia Poza	디오니아 포자				
ETC_20150317_000044	Fragaras Bleu	푸른 프라가라스				
ETC_20150317_000045	Ce monstre a grandi en taille, mais peu de choses ont changé. Autrefois, c'était déjà une plante mortelle et vicieuse.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.				
ETC_20150317_000046	Fragaras Noir	검은 프라가라스				
ETC_20150317_000047	Fragaras Rouge	붉은 프라가라스				
ETC_20150317_000048	Combattant Vubbe	부베 투사				
ETC_20150317_000049	Combattant Vubbe Bleu	푸른 부베 투사				
ETC_20150317_000050	Combattant Vubbe Rouge	붉은 부베 투사				
ETC_20150317_000051	On ignore si les Combattants Vubbe sont entraînés ou possèdent simplement une aptitude naturelle au combat.	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.				
ETC_20150317_000052	Golem	골렘				
ETC_20150317_000053	Golem Gris	회색 골렘				
ETC_20150317_000054	Meduja	미듀쟈				
ETC_20150317_000055	Certains disent qu'on peut utiliser un Meduja pour contacter les âmes des morts.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.				
ETC_20150317_000056	Meduja Bleu	푸른 미듀쟈				
ETC_20150317_000057	Meduja Vert	초록 미듀쟈				
ETC_20150317_000058	Meduja Rouge	붉은 미듀쟈				
ETC_20150317_000059	Les chercheurs affirment que les plantes ont une âme. Les Meduja seraient la forme mutée de ces âmes.	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.	ETC_20150317_000055	Certains disent qu'on peut utiliser un Meduja pour contacter les âmes des morts.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.	
ETC_20150317_000060	Larve de Meduja	미듀쟈 유충				
ETC_20150317_000061	Ellaganos	엘라가노스				
ETC_20150317_000062	Morsure	바이트				
ETC_20150317_000063	Certains disent qu'ils préféreraient prendre une flèche plutôt que subir une morsure du Bite.	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.				
ETC_20150317_000064	Puragi	푸라기				
ETC_20150317_000065	C'est un secret oublié que les démons ont secrètement déployé les Puragi pour attaquer les soldats de Ruklys pendant la guerre civile.	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.				
ETC_20150317_000066	Puragi Bleu	푸른 푸라기				
ETC_20150317_000067	Les Puragi bleu adorent tuer et piller.	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.				
ETC_20150317_000068	Puragi Vert	초록 푸라기				
ETC_20150317_000069	Personne n'a jamais vu le visage caché derrière son masque.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다				
ETC_20150317_000070	Puragi Rouge	붉은 푸라기				
ETC_20150317_000071	Grand Puragi	대형 푸라기				
ETC_20150317_000072	Zigri	지그리				
ETC_20150317_000073	Zigri Marron	갈색 지그리				
ETC_20150317_000074	Ces sbires démoniaques adorent le massacre.	살육을 즐기는 마족의 졸개입니다.				
ETC_20150317_000075	Zigri Noir	검은 지그리				
ETC_20150317_000076	Un sbire démoniaque que l'on trouve partout dans le monde.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.				
ETC_20150317_000077	Zigri Rouge	붉은 지그리				
ETC_20150317_000078	Pêcheur	피셔맨				
ETC_20150317_000079	La raison pour laquelle les Fisherman sont classés comme monstres tient au fait que leurs cannes à pêche contrôlent les créatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.				
ETC_20150317_000080	Pêcheur Bleu	푸른 피셔맨				
ETC_20150317_000081	Pêcheur Vert	초록 피셔맨				
ETC_20150317_000082	Pêcheur Rouge	붉은 피셔맨				
ETC_20150317_000083	Les agissements de ce pêcheur sont souvent inexplicables.	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.	ETC_20150317_000079	La raison pour laquelle les Fisherman sont classés comme monstres tient au fait que leurs cannes à pêche contrôlent les créatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.	
ETC_20150317_000084	Gribaru	그리바루				
ETC_20150317_000085	Sa tige céphalique peut servir à divers usages, comme relâcher des attractifs ou détecter des cibles cachées.	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.				
ETC_20150317_000086	Grand Gribaru	빅그리바루				
ETC_20150317_000087	Griba de la Forêt d'Épines	가시숲 그리바				
ETC_20150317_000088	Matsum	메슘				
ETC_20150317_000089	Que le Matsum soit d'origine végétale, animale ou minérale importe peu. Ce qu'il faut savoir, c'est qu'il est dangereux.	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.				
ETC_20150317_000090	Matsuma	메슘마				
ETC_20150317_000091	Ego de Mirtis	분신 미르티스				
ETC_20150317_000092	Molich	몰렉				
ETC_20150317_000093	Mini Griba	미니 그리바				
ETC_20150317_000094	Griba Vert	초록 그리바				
ETC_20150317_000095	Griba Rouge	붉은 그리바				
ETC_20150317_000096	Bien que leur couleur vive les rende assez visibles, il reste difficile d'éviter leurs attaques.	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.				
ETC_20150317_000097	Griba Jaune	노란 그리바				
ETC_20150317_000098	Grand Griba Rouge	대형 붉은 그리바				
ETC_20150317_000099	Grand Griba	빅 그리바				
ETC_20150317_000100	On a autrefois décrit ce monstre comme difficile à bloquer et difficile à manger.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.				
ETC_20150317_000101	Grand Griba Bleu	푸른 빅 그리바				
ETC_20150317_000102	Un monstre grand, fort et résistant, proie réticente des chasseurs.	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.				
ETC_20150317_000103	Grand Griba Vert	초록 빅 그리바				
ETC_20150317_000104	Grand Griba Rouge	붉은 빅 그리바				
ETC_20150317_000105	Vieux Kepa	늙은케파				
ETC_20150317_000106	Les Kepa vieillissent rapidement au détriment de leur force. Attention à son odeur âcre, qui s'intensifie avec l'âge.	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.				
ETC_20150317_000107	Vieux Kepa de Gelsvas	겔스바스 늙은케파				
ETC_20150317_000108	Vieux Kepa Noir	검은 늙은케파				
ETC_20150317_000109	Vieux Kepa Rouge	붉은 늙은케파				
ETC_20150317_000110	Sa couleur délabrée par l'âge ne fait que confirmer son danger.	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.	ETC_20150317_000106	Les Kepa vieillissent rapidement au détriment de leur force. Attention à son odeur âcre, qui s'intensifie avec l'âge.	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.	
ETC_20150317_000111	Grand Vieux Kepa	대형 늙은케파				
ETC_20150317_000112	Rafflesia	라플레시아				
ETC_20150317_000113	Rafflesia Verte	초록 라플레시아				
ETC_20150317_000114	Rafflesia Noire	검은 라플레시아				
ETC_20150317_000115	Les feuilles de cette plante sont plus résistantes que du cuir.	이 식물의 잎은 가죽보다 강하다고 합니다.				
ETC_20150317_000116	Rafflesia Rouge	붉은 라플레시아				
ETC_20150317_000117	Raffly	라플리				
ETC_20150317_000118	Même après avoir subi des mutations, les Raffly continuent de chasser de petits insectes.	라플리 변이된 후에도 작은 곤충을 사냥합니다.				
ETC_20150317_000119	Raffly Bleu	푸른 라플리				
ETC_20150317_000120	Raffly Gris	회색 라플리				
ETC_20150317_000121	Raffly Noir	검은 라플리				
ETC_20150317_000122	Ridimed	리디메드				
ETC_20150317_000123	Ridimed Bleu	푸른 리디메드				
ETC_20150317_000124	Bien qu'il ait muté à partir d'une herbe, son corps entier est désormais fait de bois solide.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.				
ETC_20150317_000125	Ridimed Noir	검은 리디메드				
ETC_20150317_000126	Ridimed Rouge	붉은 리디메드				
ETC_20150317_000127	Sakmoli	사크몰리				
