ETC_20150317_000001	Kepa	케파				
ETC_20150317_000002	The Kepa is not a strong monster. However, attacking it recklessly may bring you to tears.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 				
ETC_20150317_000003	Large Kepa	대형 케파				
ETC_20150317_000004	There are people who try to eat the Large Kepa sometimes. Don't let them.	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.				
ETC_20150317_000005	Red Kepa	붉은 케파				
ETC_20150317_000006	Contrary to popular belief, it's the Red Kepas that are most similar to the original Kepa.	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.				
ETC_20150317_000007	Poisoned Kepa	중독된 케파				
ETC_20150317_000008	Monster	몬스터				
ETC_20150317_000009	Hamming	하밍				
ETC_20150317_000010	Despite its tough skin, the Hamming is a fairly feeble monster.	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.				
ETC_20150317_000011	Chinency	치넨시				
ETC_20150317_000012	Originally stalks of plants, the Chinency have since evolved to their current form.	보기와 달리 식물의 줄기가 변형된 몬스터입니다.				
ETC_20150317_000013	Mutant Chinency	변이 치넨시				
ETC_20150317_000014	Jukopus	유코푸스				
ETC_20150317_000015	Very little is known about the Jukopus' internal structure.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.				
ETC_20150317_000016	Blue Jukopus	푸른 유코푸스				
ETC_20150317_000017	Gray Jukopus	회색 유코푸스				
ETC_20150317_000018	Depending on its maturity, this monster may develop a variety of different combat techniques.	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.	ETC_20150317_000015	Very little is known about the Jukopus' internal structure.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.	
ETC_20150317_000019	Pokuborn	포쿠본				
ETC_20150317_000020	Yellow Pokuborn	노란 포쿠본				
ETC_20150317_000021	Blue Pokuborn	푸른 포쿠본				
ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.				
ETC_20150317_000023	Green Pokuborn	초록 포쿠본				
ETC_20150317_000024	Even after mutating, their meat is still edible.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.	ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20150317_000025	Blue Pokubu	푸른 포쿠부				
ETC_20150317_000026	Banshee	밴시				
ETC_20150317_000027	The souls of those who ventured to the underworld now appear as demons.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.				
ETC_20150317_000028	Red Banshee	붉은 밴시				
ETC_20150317_000029	Evil Spirit	사악한 망령				
ETC_20150317_000030	A soul that did not receive the guidance of the goddess. It was born through demonic control.	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.				
ETC_20150317_000031	Large Banshee	대형 밴시				
ETC_20150317_000032	Beehive	벌통				
ETC_20150317_000033	Blue Beehive	푸른 벌통				
ETC_20150317_000034	Grey Beehive	회색 벌통				
ETC_20150317_000035	Red Beehive	붉은 벌통				
ETC_20150317_000036	Bushspider	크루마보				
ETC_20150317_000037	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.				
ETC_20150317_000038	Black Bushspider	검은 크루마보				
ETC_20150317_000039	Red Bushspider	붉은 크루마보				
ETC_20150317_000040	White Bushspider	하얀 크루마보				
ETC_20150317_000041	Yellow Bushspider	노란 크루마보				
ETC_20150317_000042	Disgusting Dionia	구역질나는 디오니아				
ETC_20150317_000043	Dionia Poza	디오니아 포자				
ETC_20150317_000044	Blue Fragaras	푸른 프라가라스				
ETC_20150317_000045	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.				
ETC_20150317_000046	Black Fragaras	검은 프라가라스				
ETC_20150317_000047	Red Fragaras	붉은 프라가라스				
ETC_20150317_000048	Vubbe Fighter	부베 투사				
ETC_20150317_000049	Blue Vubbe Fighter	푸른 부베 투사				
ETC_20150317_000050	Red Vubbe Fighter	붉은 부베 투사				
ETC_20150317_000051	It is unknown whether Vubbe Fighters are trained, or just have a natural aptitude for combat.	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.				
ETC_20150317_000052	Golem	골렘				
ETC_20150317_000053	Gray Golem	회색 골렘				
ETC_20150317_000054	Meduja	미듀쟈				
ETC_20150317_000055	Some people say a Meduja can be used to contact the souls of the dead.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.				
ETC_20150317_000056	Blue Meduja	푸른 미듀쟈				
ETC_20150317_000057	Green Meduja	초록 미듀쟈				
ETC_20150317_000058	Red Meduja	붉은 미듀쟈				
ETC_20150317_000059	Researchers have asserted that plants have souls. The Meduja are the mutated form of such souls.	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.	ETC_20150317_000055	Some people say a Meduja can be used to contact the souls of the dead.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.	
ETC_20150317_000060	Meduja Larva	미듀쟈 유충				
ETC_20150317_000061	Ellaganos	엘라가노스				
ETC_20150317_000062	Bite	바이트				
ETC_20150317_000063	Some say they would rather choose to take an arrow than experience a bite by the Bite.	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.				
ETC_20150317_000064	Puragi	푸라기				
ETC_20150317_000065	It's a forgotten secret that the demons secretly deployed the Puragis to attack Ruklys' soldiers during the civil war.	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.				
ETC_20150317_000066	Blue Puragi	푸른 푸라기				
ETC_20150317_000067	Blue Puragis love to kill and pillage.	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.				
ETC_20150317_000068	Green Puragi	초록 푸라기				
ETC_20150317_000069	No one has ever seen the face hidden behind its mask.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다				
ETC_20150317_000070	Red Puragi	붉은 푸라기				
ETC_20150317_000071	Large Puragi	대형 푸라기				
ETC_20150317_000072	Zigri	지그리				
ETC_20150317_000073	Brown Zigri	갈색 지그리				
ETC_20150317_000074	These demon minions enjoy slaughter.	살육을 즐기는 마족의 졸개입니다.				
ETC_20150317_000075	Black Zigri	검은 지그리				
ETC_20150317_000076	A demon minion found throughout the world.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.				
ETC_20150317_000077	Red Zigri	붉은 지그리				
ETC_20150317_000078	Fisherman	피셔맨				
ETC_20150317_000079	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.				
ETC_20150317_000080	Blue Fisherman	푸른 피셔맨				
ETC_20150317_000081	Green Fisherman	초록 피셔맨				
ETC_20150317_000082	Red Fisherman	붉은 피셔맨				
ETC_20150317_000083	This fisherman's actions are often unexplainable.	피셔맨들의 행태는 설명되지 않는 부분이 많습니다.	ETC_20150317_000079	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.	
ETC_20150317_000084	Gribaru	그리바루				
ETC_20150317_000085	Its head stem can be used for various purposes, such as releasing attractants and detecting hidden targets.	머리의 줄기는 탐지, 유인 등 여러 목적으로 사용됩니다.				
ETC_20150317_000086	Big Gribaru	빅그리바루				
ETC_20150317_000087	Thorn Forest Griba	가시숲 그리바				
ETC_20150317_000088	Matsum	메슘				
ETC_20150317_000089	Whether the Matsum originated from a plant, animal, or mineral is unimportant. What you should know is that its dangerous.	메슘이 동식물 혹은 어떤 광물에서 기원한 몬스터인지는 중요하지 않습니다. 알아야 할 것은 그 위험성입니다.				
ETC_20150317_000090	Matsuma	메슘마				
ETC_20150317_000091	Mirtis Ego	분신 미르티스				
ETC_20150317_000092	Molich	몰렉				
ETC_20150317_000093	Mini Griba	미니 그리바				
ETC_20150317_000094	Green Griba	초록 그리바				
ETC_20150317_000095	Red Griba	붉은 그리바				
ETC_20150317_000096	Although their bright color makes them pretty visible, it's still hard to evade their attacks.	밝은 색이라 눈에 잘 보이기는 하지만, 그렇다고 피하기 쉽지는 않습니다.				
ETC_20150317_000097	Yellow Griba	노란 그리바				
ETC_20150317_000098	Large Red Griba	대형 붉은 그리바				
ETC_20150317_000099	Big Griba	빅 그리바				
ETC_20150317_000100	This monster was once described as hard to block and hard to eat.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.				
ETC_20150317_000101	Big Blue Griba	푸른 빅 그리바				
