QUEST_20150317_000001	Veuillez sélectionner l'utilisateur nécessitant une mise à jour de quête.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20150317_000002	Statue de la Déesse Vakarine	여신 바카리네의 상					
QUEST_20150317_000003	Veuillez sélectionner un territoire.	지역을 선택해주세요.				여신 바카리네의 상	
QUEST_20150317_000004	Sélectionner	선택					
QUEST_20150317_000005	Veuillez sélectionner un objet.	아이템을 선택해주세요.					
QUEST_20150317_000006	Sélectionner le Groupe	그룹 선택					
QUEST_20150317_000007	Veuillez sélectionner un groupe de démarrage triché.	치트 스타트 그룹을 선택하세요.				그룹 선택	
QUEST_20150317_000008	Sélectionner la Zone	존 선택				Basic	
QUEST_20150317_000009	Veuillez sélectionner une zone de départ.	시작할 존을 선택하세요.				존 선택	
QUEST_20150317_000010	Sélectionner l'Avancement	전직 선택					
QUEST_20150317_000011	Veuillez sélectionner une classe.	원하시는 직업을 선택하세요.				전직 선택	
QUEST_20150317_000012	Maître Bokor	보코르 마스터					
QUEST_20150317_000013	Ainsi, cette dalle de pierre t'intrigue. Si tu le souhaites, je te montrerai la volonté de sa créatrice.	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				보코르 마스터	
QUEST_20150317_000014	Déesse Laima	여신 라이마					
QUEST_20150317_000015	Au moment où tu recevras ce message, beaucoup de temps se sera écoulé. Je suis Laima, la{nl}déesse du destin et de la sagesse.	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				수정광산의 계시	
QUEST_20150317_000016	Il y a 600 ans, en créant cette révélation, j'ai prévu une grande quantité de mort et de souffrance.{nl}Si tu vois ceci, alors je crains que ce que j'ai prévu se soit produit.	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				수정광산의 계시	
QUEST_20150317_000017	Les démons ont déclenché le premier des cataclysmes, et les déesses ont disparu. Je savais que{nl}tout cela arriverait et j'ai fait tout mon possible pour éviter ce destin, mais mon pouvoir n'a pas{nl}suffi.	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				수정광산의 계시	
QUEST_20150317_000018	À la place, j'ai erré à travers des rêves clairvoyants à la recherche d'une réponse. Tu te trouvais{nl}au bout d'eux... un Sauveur.	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				여신 라이마	
QUEST_20150317_000019	Malheureusement, les démons ne pouvaient rester inactifs, sachant que je possède un pouvoir{nl}de clairvoyance. J'ai été forcée de me cacher jusqu'au moment de ton apparition.	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				수정광산의 계시	
QUEST_20150317_000020	J'ai décidé de diviser mon être et de demeurer au sein de nombreuses révélations. Des{nl}révélations que j'ai continué à créer secrètement pendant un millénaire.	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				수정광산의 계시	
QUEST_20150317_000021	Sauveur, si tu peux m'aider à retrouver ma forme, nous pourrons arrêter les plans sinistres des{nl}démons. Tu dois récupérer les révélations que j'ai cachées à travers chaque axe du temps.	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				여신 라이마	
